Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,131492,136859,135172,134176,134250,135505,133310,133124,133932,132364,133250,129004,131089,136950,134957,135772,136093,135269,136270,133493,147364,133142,134333,130408,132998,135055,135689,132262,133043,135687,135225,137796,135527,134580,136069,130507,133003,137508,137957,135643,137157,139945,141937,140898,137091,133195,135064,132643,130841,135636,137060,135669,133598,134728,134440,136386,132065,135372,138882,130746,134726,136226,138828,138313,134623,132352,137616,135088,147880,133595,134625,130886,132588,139397,141800,139232,136935,135817,136461,138944,141386,135382,140050,132833,130878,132891,131279,134148,132560,132444,131877,130650,131898,132672,131471,130755
0.083333333,133724,134887,133433,135418,135199,137574,132928,137653,133161,134221,132039,129361,136078,138660,138568,136851,137729,137029,138149,135112,146452,135403,137313,131262,131958,138522,137281,134640,134081,134548,137441,136536,136907,133937,136856,129529,131458,137450,137120,135646,134933,135733,138823,143410,136713,134600,134129,131413,130981,135869,139965,138071,136977,139570,135886,139727,136280,136765,138562,132089,133923,135479,136925,137648,136204,133653,138288,134724,147573,135043,134955,130951,133602,141634,140231,138455,136726,137678,134005,138709,141636,137139,140606,131325,131165,134556,132131,136275,134379,132619,133890,134707,135372,131935,134249,132496
0.166666667,133600,138178,133214,135039,136714,137075,137002,135911,135182,134124,132812,130370,134293,138523,136158,137966,137723,135655,138172,135036,147775,136193,135975,131053,131777,140231,139333,135795,136284,136733,137502,137742,138481,136546,140105,133113,132014,138982,137090,137420,138452,137437,140064,141503,135300,134343,135323,132908,133152,136059,137272,137186,133864,136933,136401,139300,132908,135311,138063,131318,136617,140592,138673,142040,138885,137478,139855,138596,149625,136948,138660,135514,133764,141571,140272,140339,138799,137208,137292,139702,141355,133482,139440,133946,130453,134300,130821,136358,132951,133710,132221,131382,130927,130616,133542,132485
0.25,133162,137033,136788,136459,136024,136870,136375,135096,134655,133828,134065,129892,134552,138621,138603,137462,136842,136180,137601,135227,147897,135994,137769,133467,133131,135140,136942,134579,134799,134290,136439,134870,137979,135323,137759,132894,131991,140173,139654,138978,137922,139664,141108,143298,137748,137665,135429,131389,133133,136323,137539,138867,134587,137908,136484,138858,133689,135203,137093,131858,134744,137958,140081,138750,136826,135261,137744,135393,149204,134101,136283,132244,134773,140804,140689,139720,138927,136717,137156,138811,142844,137032,141337,134249,132708,134959,132586,135256,135180,133318,135119,133134,132045,131116,133679,133693
0.333333333,132020,138488,133632,134892,136266,137056,135873,136031,134784,134132,134366,129928,133427,137048,137950,139406,137254,138048,137395,135567,149345,134476,138637,132255,131108,137947,136035,134692,135848,134814,135824,135228,138851,135558,136495,133107,130792,137876,137698,136620,138424,138364,140899,142417,134949,135507,135507,130645,133412,134749,138161,137397,132641,135568,135133,137630,134071,135961,137414,132907,134781,137750,140244,140606,138685,137602,143216,137663,148443,139313,138958,133781,134499,139573,141826,139175,138578,135060,135588,138513,140312,135877,138918,130555,132066,135693,133154,136242,133083,133192,133032,131890,130930,131448,134051,130355
0.416666667,131926,136991,135914,135728,137434,137784,136341,136536,134280,133915,134824,130566,134126,138154,136844,137288,139610,137561,138008,136467,146117,135024,136372,131544,131705,138801,138490,135300,135431,135101,137082,137473,138119,135404,136786,133193,132883,137405,138955,137756,138304,138283,139905,143732,136034,136029,136197,133263,131423,133527,137382,135897,133815,134896,134042,136890,131463,134602,136271,130406,134994,137315,139292,140079,136268,134232,137524,135399,146956,135137,138039,131179,134175,141253,140301,139261,138476,135424,136780,139396,141596,136814,141669,135120,131022,133391,130162,134708,132314,133055,131188,132417,133281,132251,133331,131165
0.5,134175,136908,134868,137166,139445,137782,135916,134332,132193,133541,135115,130726,133627,136607,136662,137519,136876,137543,135677,134139,145663,136548,138075,129760,133621,139095,137074,134582,134518,134164,136707,137938,137152,137737,137717,130461,132479,138067,136989,137505,138202,135885,141633,142842,135409,135878,135058,130296,131411,137609,138845,137275,134065,138912,137456,138861,134144,136905,137545,132508,135740,138836,138397,139094,138006,134964,140064,136213,145474,134927,137579,132649,132061,139325,138315,137856,139061,136274,135526,136700,140430,135205,137699,132193,131323,133529,132071,134637,133830,132844,132980,131854,132332,130214,133159,133590
0.583333333,132745,136960,134095,135407,138280,136916,136289,136387,133165,136217,132121,127972,134093,136374,136328,136551,137540,137057,138310,136267,145265,135276,135203,130871,132669,137553,136108,137486,135778,136909,136969,140095,136076,137349,138729,132439,132659,139589,136645,135543,137190,136757,139196,140821,136387,134393,135584,130343,132100,134885,135870,135253,133418,135615,135344,137637,132146,136111,137510,132432,134376,138658,139076,138077,139018,135588,140852,138463,148384,134440,138063,131764,132794,139397,139829,138034,137272,135141,135666,141320,140016,136764,139647,133302,133373,134609,131711,136375,134134,131325,131598,131598,131352,130715,132959,132937
0.666666667,132681,137639,133137,135945,137375,135431,135326,135113,134689,133680,134183,131103,135446,136192,135188,138108,137636,138050,137505,134165,146324,135985,136715,131308,132617,137395,137756,133926,134814,134387,135184,138479,135728,135208,137881,131860,129745,135645,136704,135198,137047,136236,140431,142110,134962,135272,135431,130641,132159,136540,137005,134820,135001,134538,134535,136629,133729,137259,137921,129651,133851,136414,137324,139327,135529,135749,138820,136825,146211,134720,136606,132915,134603,141177,140470,141610,138664,136610,136760,139008,143005,136292,139821,132591,132323,133696,133573,133762,133917,132905,131183,133239,134063,133399,133819,132721
0.75,133720,137871,134404,132860,136211,136764,136842,134970,133804,132377,133654,129214,132937,137943,135852,137069,138384,135435,136934,135021,144382,136325,135054,131462,131200,136905,136689,134489,135422,134450,137322,136839,136307,136064,136285,130312,132983,136388,136271,134550,137710,138292,139357,142519,136634,134796,135968,131015,131552,133155,139338,136592,135768,138251,138382,140250,133573,137535,139514,134318,134408,137202,137916,140019,137470,133628,138074,137398,145823,137058,136529,132460,133143,138975,140110,137588,136639,134779,134580,137257,138507,134601,137866,132179,132592,134988,131845,134736,132216,134439,133097,132692,132923,133006,133856,133038
0.833333333,133071,135746,134122,133897,135835,135863,135482,135622,134387,133237,133389,130079,133152,137415,137165,137365,138177,134898,136742,134674,145288,134398,136043,132373,132658,140878,136282,134437,135230,136543,138758,138004,137851,135711,138310,131556,132489,138031,136016,135567,135241,137098,139625,141991,135831,134989,132994,130540,132491,136674,136875,135027,135306,135488,136707,137641,133011,135992,137572,131420,135922,137300,137625,138566,137531,134740,138485,137593,147785,136701,138395,136065,133045,137045,139172,138402,136470,133389,132583,136192,139512,135269,136821,131456,132475,134307,131880,135661,133147,131945,133550,131372,131683,132764,132613,132900
0.916666667,132419,138111,132507,136403,137195,135411,137315,135277,133789,135040,132900,130370,135863,138245,136854,135770,137225,136967,137247,136108,145283,135614,136795,131079,132387,137218,134099,134956,133948,134774,136133,136448,135471,135520,137873,130449,131746,138145,137097,134711,139323,137648,138415,142925,135020,135792,136110,131023,131154,134753,137995,136847,133183,136458,136467,137854,133054,135063,139630,132660,132713,134898,139802,137482,135216,133813,137976,134610,145498,135294,136871,131829,132284,139101,141022,137935,137907,136157,135922,137395,140058,136078,138024,132010,131454,134679,131281,134349,133298,131065,134285,130278,132777,131415,132792,132664
