Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,112680,116838,114732,118042,115060,116282,116018,115333,115011,113252,115116,114941,114250,116857,115970,118187,117837,119467,118841,116794,117085,118214,116187,115084,113181,117377,115920,115776,116648,118468,116702,117547,115083,117160,115170,115029,113087,119218,118318,116772,119391,124040,119456,119053,118318,117654,117711,118199,115198,117381,119098,121630,114529,118235,119296,121051,119525,119012,118467,118987,115381,120529,122068,122722,120950,122216,120451,121892,121920,120949,122355,117871,117572,123869,122957,125746,124528,123889,123906,125407,124563,122831,124943,119734,118158,119332,118035,118112,119476,118536,119323,120193,118765,120969,119856,117195
0.083333333,110726,115682,114844,115661,116232,114411,115792,114237,114996,113213,115675,113664,113247,115608,115508,118363,119509,119844,119748,116418,117031,118866,116649,116928,111696,118819,115920,115157,116456,117083,117439,114554,113783,115815,115709,113348,112908,118129,118622,116361,118693,120772,119547,117561,117755,113778,116488,117023,114176,117587,117175,120421,117365,117527,118492,119359,118382,119571,119482,117602,112794,119405,122183,119337,122158,120947,121022,121546,121113,122334,120649,116964,114688,121628,121628,122819,122102,121454,121771,121543,122427,122927,121916,118657,117102,117074,117627,117207,119463,117838,118716,118745,119311,118693,117919,118147
0.166666667,113206,114156,114643,117906,115817,116073,115594,117083,115473,113982,116469,115920,113616,117601,116112,118910,118190,120378,118486,115756,119043,120228,119478,116961,112851,119278,116742,118291,119231,117845,120491,117200,117193,117555,116707,116638,112050,117999,119331,116773,118728,122254,121699,118119,117589,116996,115881,117671,113925,117750,118201,120313,114376,117619,117548,118247,116897,118124,118599,116427,116619,121361,122776,122194,121257,121756,122313,122484,122811,122561,122974,118437,117249,123511,122527,123299,123650,122310,121993,124361,123690,125749,123205,119157,119221,118271,117867,117318,122507,119823,119272,120053,118820,119087,117142,117528
0.25,113323,116079,115059,115632,116345,116104,114659,117166,115506,114121,115902,115762,115037,117508,116253,119000,121145,120400,118936,116987,116825,118917,118150,117321,113499,116550,117409,117560,118016,118482,117656,115536,116296,116689,116279,116847,113989,119210,118898,116443,117851,123300,122307,120159,119072,116993,119474,119925,115248,116602,117721,118976,115544,116511,118471,118385,116604,117199,116979,114318,114515,120321,121823,121357,122743,120898,119829,122161,122156,121622,121831,117773,116474,122097,122610,126099,122622,122156,122762,123670,124666,124536,122962,121002,117770,118967,117704,119067,120719,121047,119999,119551,118210,118513,117287,117987
0.333333333,113373,116146,116109,117003,115646,117814,116568,116565,116003,113880,118207,116713,115360,116844,115033,119976,118391,118616,118874,115692,117195,119485,115230,115598,114781,119077,115245,115931,119210,119064,117703,114770,115884,115260,115353,115743,112602,118971,118678,116669,118729,121762,120073,118579,117882,115917,116765,118144,114270,116304,118716,120024,116020,118507,118307,117895,118127,119430,118039,115944,115936,120188,122617,123042,120296,121466,120507,122733,119955,122747,121676,117349,115975,123742,120832,123934,121199,122032,124391,122151,124790,124758,123392,118687,119238,119536,118739,117549,119392,119671,122006,120238,117842,120963,116718,121069
0.416666667,112546,116832,115859,116162,116260,118154,115497,117382,115282,116311,118542,117998,114970,117720,117223,119164,119898,120185,119911,114649,118148,119738,117492,115906,114082,119932,117373,118204,119264,119888,120451,116347,118735,118043,118340,117710,112841,118777,116948,115141,116829,123513,120356,118800,117197,116781,118654,117117,115317,119419,119771,121379,117060,118013,119700,120050,120982,118120,119051,118026,117746,120782,122752,121391,122388,122783,121639,123136,124403,123025,122386,119505,117513,123495,119343,123434,124521,121919,122289,121312,124367,123132,122243,119578,119015,118414,118300,118474,121842,119094,118845,118312,118283,120191,119518,118115
0.5,114144,114984,115884,117268,117739,116226,116684,118116,115264,115473,118928,118547,114332,116013,113776,118803,119761,120004,117853,115120,117415,119287,116431,116747,112408,116087,114885,116223,118267,117822,116832,116839,115272,117664,116947,115075,114063,117853,118951,115799,118090,122051,121185,118119,117231,115180,118023,116986,114537,115993,118548,119868,116749,119325,119855,119408,117854,119287,120384,117482,116073,119534,122677,120567,121029,120534,119519,119468,120026,122365,119600,115371,116320,122573,122743,122773,123305,122847,122978,123336,123456,122667,123200,119303,117832,119037,118635,117195,119520,118559,117769,119820,118617,119395,119439,118875
0.583333333,113885,115798,115849,117460,117963,116121,117513,118686,116832,115695,121219,119348,113450,116355,116488,120243,118859,120979,118883,117308,118315,121008,118167,116278,114124,117564,118309,117285,119576,118444,117125,115885,116913,116211,115789,117423,114344,118148,118224,115662,117711,120354,119077,117813,116354,117291,116892,117300,116494,118448,120011,121020,118911,120752,120651,122158,120369,119985,123595,123981,114711,119883,122280,121761,122150,122522,121297,120483,123069,122933,121123,117679,118352,122553,122208,122313,122383,122315,123854,122854,124850,122527,124224,119804,118409,118324,117396,117835,120534,119538,119401,119637,119450,120224,119034,117415
0.666666667,114789,118147,117176,118272,118181,118135,117794,118819,116973,116032,123074,121348,114890,116635,114936,117025,120307,120201,119500,116176,116766,119050,119191,114834,114464,117728,117111,118377,119713,118807,119341,116187,115514,115630,116042,117062,112148,119798,118060,115981,117981,123790,119155,116426,117309,117177,116804,117289,116618,117170,120747,120601,116765,119320,119521,120503,119826,118534,122560,122051,112867,121484,121962,120437,121000,120537,121306,121143,123379,123916,121741,116523,119312,122228,121177,122952,122884,122369,122386,123256,122508,122646,124155,120849,118456,119461,117743,117266,118749,119437,119264,118976,117624,119610,117507,118651
0.75,113721,114881,117011,117127,116997,115838,116948,117208,117120,115214,122803,120289,113921,116715,114987,118963,119988,120297,118532,115805,116404,118669,115301,116376,113805,118706,115673,116615,117594,116182,118178,116269,116435,118004,115246,114771,113079,118854,119182,116082,117751,122996,118101,117580,116675,115076,117255,118365,115272,118691,118714,120489,114928,119446,118448,119592,123133,120247,125752,125471,114594,121540,121700,119942,121515,121114,120129,120946,121375,122188,120658,117989,116352,122478,122283,123973,121807,122979,124810,124528,124145,122982,123402,120875,118138,119063,118388,119729,120190,118476,119490,118219,118326,119050,117738,118958
