Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,119820,124890,119193,123622,124311,124056,123144,123619,122300,122330,120371,117066,120746,129208,122883,127058,125607,123431,123862,123278,124401,121480,122223,117738,116956,121347,125362,123392,124448,122258,126359,125096,125722,123681,123973,117762,111559,121754,121484,119258,122093,122019,121867,121909,123807,122380,120177,119194,113864,120978,119932,122441,118218,122047,121191,120954,117800,119932,119484,117380,120663,127729,123998,121371,122836,123409,122064,119856,122742,125000,121944,118436,116712,125077,121745,125271,124714,122425,123277,125070,122705,123494,124389,117570,116012,118078,117067,118061,114233,120536,117508,118028,118050,119894,118414,118212
0.083333333,118988,125258,122276,122438,124566,123140,122523,123498,121730,121710,120672,117912,122234,129973,121223,126267,127028,126271,125487,124684,124224,123752,122412,120068,115955,122947,124887,123587,125170,124276,127376,124363,121912,122921,122837,117541,113827,121669,122731,119661,121750,122689,123639,123184,122701,121317,118423,119430,115483,119845,121631,122623,120523,124003,123834,124721,120165,123029,121025,119415,121447,126870,122708,121799,124600,122306,122633,121109,121061,123206,120750,117243,117237,121631,118940,123820,121982,122723,123571,123949,123039,121920,124825,117111,116479,118560,119609,117040,116259,118904,117870,118239,120087,120238,116732,118077
0.166666667,121001,127055,122877,124178,125136,123559,123326,123005,122235,121661,122303,117238,121135,128021,121345,124454,126162,126378,125405,124205,125122,122188,121220,118906,117360,122824,123514,123993,124559,123747,127695,123548,123314,123046,125477,118467,115299,121801,122441,121004,123047,124081,125910,122883,125239,122741,122422,119818,117120,120126,120547,124154,119038,122457,125160,122553,121731,121350,123045,119232,120908,127123,122532,124058,124035,123897,122069,120296,123013,121613,121250,118940,116467,121283,120079,123417,123207,123587,123762,122256,122591,120919,122751,117921,116785,117387,117846,118625,116765,117928,117969,117596,117412,118570,117084,119138
0.25,120203,124855,122617,123784,125053,124108,124051,124440,121804,122643,123149,119765,121084,128378,121071,125343,125827,124413,125938,123301,123347,123107,123232,118945,116520,123450,126509,126205,125401,125061,127235,126303,123747,123642,122545,119204,115239,121773,122954,120832,123776,121926,124216,123128,124449,120163,121509,119216,115286,120664,119607,124351,118542,123282,123620,121625,118828,120694,122206,117928,121113,127494,122014,121631,124118,123301,122370,121306,121744,122005,120089,117429,115117,122687,118598,126366,122779,122438,123258,121737,121751,121216,124954,118193,115672,119007,117691,117542,116339,117543,117520,117344,118704,119699,117424,118602
0.333333333,119618,125041,121278,124350,125578,124780,123094,123983,122188,123738,124095,119443,121577,128771,122083,125244,126593,125205,125928,122945,123914,122568,120327,119437,117736,125314,125230,123845,122866,121643,126116,123204,122703,122911,123001,118596,114685,123207,123760,119652,121525,123278,124021,122886,123908,122395,121118,121505,115918,121252,121342,122091,120676,122636,124617,123674,121442,122590,123774,120445,120250,127353,122489,121844,122382,122766,122227,118180,121694,121040,120141,117317,118204,122667,120351,123794,122054,123215,124111,124002,122883,120029,123281,118081,117569,120790,118229,117778,115802,116903,119007,118323,117588,116848,119778,119756
0.416666667,120745,125919,122071,125920,127216,124716,124822,125183,122037,122018,121776,119632,120478,130151,121768,126659,125446,127508,127909,123276,123741,123434,122372,120055,117668,124229,125501,123656,124554,123439,126755,125625,122401,122060,122134,118212,114348,121669,122880,120492,123258,123648,124206,120567,123013,123773,120744,118620,116003,121733,120429,124358,119035,123419,122651,125207,122189,122217,125785,121655,121973,126246,121157,121409,123062,121986,121962,121478,124002,123305,120875,120227,117105,123585,120608,122963,122285,123623,125459,122399,123682,121080,124972,118112,116987,117857,120066,118878,116647,117727,119125,118115,117699,118493,119633,118796
0.5,119501,124513,121123,124518,125889,124628,123927,123549,123994,122634,126027,120689,121068,129039,120091,123801,125473,126758,124121,122889,125760,122806,121836,118636,117480,124750,124713,125111,124948,122776,127887,127221,123011,123193,124140,120344,115431,122062,123689,121710,122757,123585,125970,121701,123278,122281,119776,119581,115316,118617,120464,122315,119776,122083,124032,122506,118415,123202,123900,121083,120835,124992,122893,121451,124860,123748,121039,121599,122905,121444,121498,118938,117085,123392,120631,126056,123598,122825,123645,124907,122431,122524,125744,118466,118334,118769,118058,117739,115538,117742,118017,118312,119999,119033,117930,116842
0.583333333,119966,124843,121740,123953,127562,125697,123048,124835,124943,125022,125987,123366,121547,128357,121425,124802,125796,125719,124687,123538,124385,122368,121944,118591,116736,124541,125693,122857,124785,124917,127479,127342,124363,123131,124573,119643,114868,122758,123816,121579,121782,123281,125710,123405,126415,123751,122421,122022,116320,119509,122052,122202,117749,123512,121805,123165,121527,122769,127818,123275,120506,124539,121644,120893,122486,121612,121499,119595,122874,119877,119658,114882,119650,122438,120579,123837,123234,123472,124997,123907,122563,123366,127220,120867,118809,118256,117964,118580,116908,117787,117232,117810,117737,118748,118148,119220
0.666666667,119162,123953,121365,125277,127148,124885,124419,125844,124129,121082,129254,125263,122414,129708,123600,126977,126177,126976,127463,124971,123720,122884,124322,120483,118891,124220,126443,124633,125639,123187,127249,126246,124463,123594,125869,121247,116859,120782,120170,120281,120253,121979,123436,122116,123869,121834,120533,121419,114811,119879,120688,122230,119380,122960,123565,124448,122775,122197,130854,124761,119888,125836,121379,120289,121136,122647,119063,117821,120846,120048,119369,114750,117531,122255,120197,123040,121466,122951,124468,122594,120797,121313,124056,118933,116863,120086,117731,116983,116023,118713,117679,117961,119192,118135,119614,118325
0.75,119586,125217,120287,123365,127287,124838,124117,125905,122446,123181,129166,124139,120808,126947,120797,124381,125598,125660,126423,122157,123659,121871,122653,119343,115932,123122,123662,122151,124020,123149,125233,125754,121059,122217,123298,119520,115177,122072,122211,118389,123610,122806,125215,119440,122236,122223,119312,119297,114924,118502,119914,121610,116046,122105,122033,120299,119592,120150,126970,123644,120876,126582,122468,123060,121159,123153,121974,119712,120522,120103,121553,115989,115406,121326,119252,123169,121064,121585,123966,123264,121380,120164,123828,117046,117173,119036,116743,116380,114704,118052,117351,118103,117528,119546,118680,115960
