Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,123287,126215,125862,127100,127835,126931,127637,127606,124887,128201,125120,122916,124826,127291,127004,127117,129184,129136,128876,127912,126499,128926,131841,124565,123263,130987,129089,127373,126133,126670,128843,127800,127815,128010,125437,123733,124157,127921,127777,129888,131358,128385,131641,130736,127689,128797,127227,124785,124011,127243,125119,127125,124441,127447,125981,126768,123954,123742,124958,122543,127181,129109,129494,128147,129859,126978,124772,126830,128249,128722,129544,123420,125500,133312,133648,133837,130593,129091,125353,131311,127836,126186,132694,125064,124309,126636,125453,127350,125058,128082,124634,124850,126440,125191,127226,125752
0.083333333,122379,128403,126067,125732,128597,127378,126865,126919,125351,125237,125398,121639,127274,130291,127077,128215,127071,130161,128213,127956,128030,125227,134160,123538,123455,129827,125440,127745,126814,127171,129697,126121,125403,127397,124918,123289,123960,128374,125153,125791,128833,129309,129235,125681,125572,128169,127053,122953,121205,126622,127006,127360,125327,126986,125800,128866,125903,125928,127047,124568,125246,129932,128399,129666,129071,127740,125727,128333,128201,129221,131950,124719,124883,131875,130211,131176,129347,127157,125250,128934,127779,126637,130436,125727,125492,127822,124676,127984,124905,127051,124544,124866,126408,126238,126358,124424
0.166666667,123729,127855,125292,126493,127402,128382,126769,127580,124542,125909,126243,122665,125378,127023,127850,128248,127237,130466,127682,127361,127707,126179,133232,125143,123970,129641,129347,127343,129144,127252,128628,129603,127006,127080,124595,123740,124648,129559,126074,129431,129215,129155,130222,126869,127572,130267,124947,123980,124050,126599,125804,127206,126004,127673,123890,127874,125820,124627,127869,125463,127062,130897,128084,130145,129013,128687,125144,128437,130003,129700,131333,122896,126218,129975,129291,132002,129127,128816,125697,128974,127026,127912,129441,123798,123417,125935,125367,128408,125611,127099,124134,126312,125050,125246,126288,124333
0.25,124383,127187,126591,124965,127068,128589,126598,127121,125732,127379,124963,122986,127548,127528,128669,126270,128185,129071,128516,129104,129194,129544,132851,123765,123379,128660,126350,127984,126527,127180,128449,127139,128487,127827,124171,123945,124131,128148,126661,128162,128852,127204,131520,128455,126629,129302,125411,124791,122266,126777,125566,127504,126135,128540,126242,128717,125234,127627,127986,125723,126988,130396,127930,130751,128270,128049,126073,127159,128098,129667,130077,123917,125709,132696,130541,132344,128837,128328,124769,130229,129701,127655,129335,125565,126368,127527,126993,128375,126376,127813,124701,126327,124131,127408,124474,125138
0.333333333,124386,129945,127855,126562,127288,128455,126934,127835,126442,126763,126919,123605,126173,129384,126993,127164,129036,129509,128401,127220,130023,126189,134438,124318,125108,130525,127527,129040,128834,126996,129478,128462,129879,127492,125486,126488,125932,128338,124507,127209,129724,128559,129928,126397,127253,129461,123366,124602,121786,127607,125672,127338,126913,127400,126884,126144,125962,125419,125663,124456,127222,129081,129522,130839,128014,127767,125956,126169,126821,129107,130002,123348,126700,132056,131106,131655,128654,126830,126280,129640,128883,124896,128382,124676,125932,127648,125866,128300,125247,128153,124854,123801,124212,125129,125060,125485
0.416666667,125479,129329,128300,126342,128397,128489,128052,125742,126844,129165,128130,123732,124860,128204,126291,128818,126664,131350,127416,126440,127244,128160,133080,124250,123148,128582,128842,128209,125774,128170,128677,127831,127466,127436,125135,123613,124184,129533,128844,128753,131960,130110,131558,128620,127464,131662,127816,125782,122639,124764,125785,127595,125856,126147,126382,127601,125713,125205,125959,124882,125778,131183,127309,128761,126309,125617,125931,126608,125967,127836,129970,121556,126640,132544,132672,130887,130194,129350,126683,132159,128869,127350,131256,128373,124862,127863,125418,126728,126317,126178,124532,125801,124123,124302,124735,124815
0.5,125793,126996,127995,127636,127930,128454,128099,129932,127619,127082,125976,123660,126127,129718,129277,127880,128411,133080,130782,128781,128251,129701,134217,126209,125725,131193,128115,128271,127664,126493,128883,128117,126788,127240,125784,125085,125707,127495,129234,127657,129190,129896,129983,128781,126464,129904,127878,124497,123657,130014,127758,129418,127020,128784,127993,131350,127190,128370,128172,126511,124567,129765,128144,129406,127056,125584,125471,126398,126046,128802,128681,123056,124938,132938,131456,132393,129553,128469,125997,129663,128743,127231,128806,125400,125520,128504,127273,127224,126718,127120,125619,126390,126654,126533,125844,126818
0.583333333,124086,130606,127016,126762,128874,126765,128737,128005,127756,128057,125922,123959,126897,129278,127786,129804,127758,130463,130197,128010,127439,127919,135819,123782,124560,130124,127862,130206,128501,128592,130621,131266,129669,128484,127137,125154,125718,129938,127429,127567,129401,129590,129942,127096,126403,130469,126037,124734,123991,126380,125605,128289,125206,127972,125869,128541,124739,125229,127303,124079,126874,130615,130485,130533,128239,128677,128447,128645,130432,131296,132728,126250,125988,133090,131773,132015,131512,130751,125211,129308,128117,128529,130883,126335,126219,128024,128222,128583,126923,126312,126166,124834,126549,124713,125859,124592
0.666666667,124161,130303,125867,129341,128903,127615,126924,124414,126113,128277,126213,123688,126907,128769,128822,127283,129002,130333,129156,129821,128513,128131,134573,125979,123954,129317,128824,128780,126515,126382,129829,128292,127777,128255,125203,124465,126712,129275,127018,127911,129530,127953,131741,128550,127849,130940,125624,126773,124576,127012,126500,128591,127246,126973,125322,128737,127282,124933,125669,125245,126787,131009,130287,129779,126681,126747,127061,127425,127672,130884,128881,125281,128422,133507,131766,134217,129051,131196,126515,130999,128864,127773,130591,126053,126928,129031,128348,126975,127013,127023,124012,124264,125683,124085,124748,126414
0.75,122711,128208,125951,125863,127899,128703,129110,127516,128674,127357,127198,123950,128038,130530,127244,128545,128355,131297,127669,128626,128681,129938,134368,125671,123764,130819,132019,128955,128495,128266,130317,130507,128098,129956,127206,125170,125986,127615,128079,126713,129460,128105,128252,128942,126581,128035,124941,123420,120484,127550,124579,127139,126201,126357,125314,127383,124793,126099,124989,123230,127172,130956,130308,130812,127750,128497,128302,129738,129400,131143,132459,126862,126048,133285,130696,131596,127744,127450,126991,130896,128882,125753,130577,125722,124697,127990,124931,127951,127261,126435,125146,125554,124693,123618,123758,124265
