Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,128043,132535,129101,131005,132780,134276,133094,132857,132837,133231,132503,128553,132232,134609,132094,132580,134129,135145,134547,134675,136050,133353,135139,131887,130702,135799,133152,134921,133417,132162,138510,134637,135532,137668,133779,132673,129234,133928,134219,132940,136841,134685,138634,140318,135267,136669,135587,131360,129300,134145,135283,135238,134329,137695,135037,138220,134968,135656,139564,132721,136810,139727,137997,137267,138014,139293,138555,137031,139009,137294,139550,135599,133377,137642,138188,139248,136514,135537,137345,136973,138539,135918,139116,134550,133693,136687,134764,137156,133920,134524,135302,135126,133876,134705,134255,132362
0.083333333,129804,132861,132593,134868,133722,136017,135499,135353,132653,134541,134876,128973,133879,137168,134420,136247,136729,136816,136310,133097,137128,134717,135874,131382,131351,136934,135632,135225,133312,134227,135655,135761,135843,137054,136590,133903,132394,134525,136904,136938,137631,137000,143540,145148,138646,136842,138532,132436,131226,136443,136657,137075,135224,139646,137248,141185,135883,137034,140579,133593,137981,140000,137834,137932,139774,139113,138003,137628,138686,138520,136513,136475,136247,141676,140925,140672,140157,138960,139506,141369,140990,136241,140614,137251,133649,135943,133806,138755,136402,134843,136107,136712,134209,138658,137136,136654
0.166666667,129864,137319,133416,133981,136293,137415,134910,135354,133301,135659,135209,131551,134882,136309,134091,136720,138835,139290,134990,135647,138060,135254,136665,134315,129892,136968,135876,133512,135186,135618,137435,137192,134908,138519,135649,132550,130620,135967,135374,134137,136553,137481,141188,143444,138566,138426,137627,132802,132655,136579,141155,139768,137030,140383,139201,142310,140178,139516,143114,136255,135948,142432,137988,140833,139781,138650,140108,137120,139871,137377,139247,134827,135418,142079,138685,140619,139370,138186,140808,138852,142618,137416,140146,136523,134451,134807,134745,138019,135942,137372,138102,136052,136272,135925,135892,136110
0.25,130765,134922,133398,134110,133446,136477,135040,135318,134458,134666,134586,132813,133990,137046,133123,134293,137949,138678,137466,135313,136592,136334,135874,131104,132427,137699,134792,134633,135370,133182,139690,137472,135306,139117,136747,133299,130733,136108,137051,133911,134818,136551,143091,143917,137616,137216,135985,134764,133044,137113,139799,138999,135559,140553,137162,141410,134697,137407,141341,135097,137297,141768,140073,141315,139939,140060,140897,139652,143286,140761,139929,135448,135897,141892,139579,139714,138852,139165,138788,140184,140721,138572,140390,135783,134375,137865,136407,139685,134785,136033,138090,136809,136137,136442,138089,136151
0.333333333,130792,136518,132818,135497,135735,137795,135817,135771,136212,136414,136980,132014,132751,137774,133462,133415,135892,137382,137657,134677,135426,135036,136679,133293,131445,138225,135417,135577,134066,134523,139925,136976,136517,137638,137259,134214,133247,135905,137606,137077,138003,137757,143010,145316,137935,137453,135969,135419,130677,136739,137304,137042,136527,138517,136643,140801,136752,135562,140529,133436,135144,139171,136704,138529,139061,137234,138453,138719,138247,137810,137919,135748,135944,141183,141389,142811,141405,140341,140683,141715,143410,139794,140061,135455,133635,138394,135209,140234,135488,135615,135452,136688,135235,138841,135293,135666
0.416666667,128192,133518,133883,134246,135420,135885,135431,135246,135628,136589,135322,130062,133983,138462,133171,135488,138277,137999,137026,135648,136359,136651,137350,133201,131999,137642,135266,136242,135862,136270,138955,138477,137527,139123,139278,135219,131040,137010,137219,136183,138404,137398,140546,142220,139617,138162,137430,134273,130988,136597,139253,137191,136185,141039,138922,141256,137457,139128,142755,135057,136754,137287,134772,138338,138526,137820,138393,134631,138565,137639,135456,134296,135882,141290,139934,139887,137623,139233,138408,139563,141495,137231,138700,136269,134699,136940,134282,138550,136054,135778,136261,138229,135876,138357,137930,136080
0.5,131318,135144,132342,135188,135924,137449,134735,134394,135146,136381,134995,132706,135408,137789,132794,135724,137627,138868,136808,136314,136256,135875,136986,132813,131188,139999,136266,136357,135053,135343,139015,138255,136868,139457,136227,134159,130325,134933,136418,134824,137931,138907,141141,144807,139162,137377,136472,134511,131515,137924,139450,138248,135408,138122,136832,140527,136217,138408,139060,134299,137886,138642,136318,138396,139861,138334,139690,136914,138375,136554,137308,135002,134711,140225,140273,140325,138993,137028,140252,140591,143364,138840,138075,134372,133460,135116,135455,139688,134775,134934,136927,134617,135500,138018,137077,136664
0.583333333,131203,133836,132680,134141,139016,135721,133908,136987,133525,137500,134650,131255,135280,137276,133983,133802,135842,139329,135010,135190,136850,133836,138208,133093,130628,137338,134915,134576,134300,135255,138035,136035,137163,137485,136065,133221,131283,134371,137301,136963,138821,139306,142973,146059,139952,139677,136790,136087,131586,134960,136994,136683,133703,136641,134672,137499,134658,137324,138485,132687,137187,139737,139713,139571,137645,139835,139013,140307,141077,137552,138480,134970,137653,142201,139853,142325,138911,139425,139156,140642,142325,139512,141143,137200,135795,137039,134091,140698,136017,136349,136979,136163,134054,135826,137291,136119
0.666666667,129873,135243,131553,135281,135395,135888,135842,136056,134210,137510,134215,131224,134910,137256,135012,135467,138196,139900,137355,136248,136505,135305,137363,133015,130814,137085,135114,133405,134738,133444,137516,135910,136630,137858,136584,133168,131747,135962,136346,134365,136859,139440,142159,143850,138579,139538,138249,136086,130254,135753,136603,137671,133683,138560,138022,139920,136178,138580,141066,134108,136681,138593,138814,140122,138987,139761,140734,139972,139768,137406,138163,137954,135331,141463,137445,139693,139539,138211,140671,142248,142097,139213,139149,132896,135905,137340,135408,139038,135931,137579,135735,135209,134297,137526,134915,136447
0.75,131741,134044,133747,136946,135078,136059,133856,136445,132858,134925,135715,133016,132461,134677,134127,135524,136284,138640,136527,137052,136895,138416,137407,132969,131106,138096,133581,135710,134240,135171,138120,136507,136460,135873,136424,132938,131977,134116,135119,135923,137388,137534,141570,143628,136392,137185,136674,134193,131826,136893,135934,136745,133642,138384,137440,141063,137365,139223,140854,134744,138076,141594,138875,139283,140304,140060,140200,140000,141883,140406,139095,136188,134948,138946,138584,140019,138384,138103,137981,140275,141019,137386,139354,135950,134328,138049,135696,136931,134854,136278,134219,137634,133335,137374,136257,136997
