Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,109485,109798,110946,112025,110399,109633,109175,111667,108722,108586,109913,105721,113739,113991,111269,113546,114641,113266,111097,111113,112662,111836,111582,107714,109187,114231,110786,111756,111802,110543,111873,111787,111995,111367,111407,106341,109205,112640,112130,113578,112968,114237,115985,115210,111343,110284,107724,106493,111167,111929,114638,114815,112171,113243,113050,114875,110717,113900,115313,106159,115248,117546,118199,117556,115931,111719,114419,115297,115549,114555,115530,110801,112028,116489,111746,115640,115157,112898,111790,114542,115375,113120,112997,108591,113776,114722,113049,113418,112709,111933,111454,110040,110195,111387,110139,112113
0.083333333,109549,111751,110908,111652,112920,112198,110094,111556,110203,109963,110324,106889,113313,114685,112779,113612,114273,114992,112689,111182,113880,112177,110591,107768,109320,114833,113093,113885,112856,112923,112467,114546,112680,111727,112325,108033,111357,114607,114337,114260,113837,114843,117963,114334,113485,112693,112328,108015,110632,112999,116070,115639,113578,112767,114452,113943,110489,113185,116644,109792,114714,119561,118536,118349,115837,114241,115187,116680,114164,114026,116245,112171,112483,117863,114333,118197,117574,115494,112010,116200,115959,114654,114112,110511,115531,113296,112902,114329,113845,113537,112819,110715,110874,110216,110554,110353
0.166666667,110860,112391,112023,112732,111982,113353,111606,115180,111537,111875,111566,107724,114946,114568,113828,115748,113299,116812,113337,111159,113822,111319,111477,108667,109405,114881,112753,112922,111151,111825,114086,112370,112357,112555,111468,105936,112252,113302,114412,113549,114581,114878,118624,114422,114235,111096,110165,110027,110400,114805,116723,116330,114906,115380,114540,115333,114458,114598,115191,109437,114349,118153,119062,117761,113991,114342,114764,115426,115128,114332,113786,112017,114239,116697,114983,117623,118049,114522,114722,116185,116032,113955,113853,110039,114376,114892,112380,114760,113570,112826,111869,111199,111797,110788,113106,110121
0.25,112520,113303,113208,114650,112900,113701,112651,114063,111495,110490,111097,109227,112870,115963,112810,114663,114737,115071,112386,112635,113449,111457,112761,110024,110251,113650,113804,114577,112967,112180,113753,113880,111643,111699,113275,107137,111897,113288,112970,112039,113185,115040,116607,116206,112688,112869,111485,109117,113188,113894,116754,115908,115239,114307,114799,115022,114242,116030,116807,110955,114615,116073,118495,118018,116796,115924,114947,114749,114065,112483,114710,111176,112059,118509,113501,116625,116693,114986,112778,113649,115674,112951,113576,110121,115700,115849,114783,111783,113154,112769,112228,112686,110082,112944,111268,112353
0.333333333,110492,112604,112337,111809,113563,112725,110583,114431,110447,111334,111118,107646,113492,114571,112030,111484,112666,114705,112610,111384,113108,111922,111283,109989,109610,113943,113679,115403,112292,114220,113709,113786,113573,110036,112449,107821,109407,113902,112528,112937,112976,114121,118675,114706,114276,111646,110431,107821,111065,113559,116711,116703,113581,112794,113588,112827,113254,115028,115990,109031,115824,117122,119704,116919,116220,115737,116011,114807,116840,115103,116884,112479,112746,118724,112400,117896,117427,115369,113332,115383,114719,113724,115560,110630,115643,113987,113924,114510,112533,112941,113110,112511,110887,112779,111048,111730
0.416666667,110776,112840,111991,113533,113589,114497,111344,113596,112345,110309,111529,108392,114158,114531,113463,116241,113937,114805,114176,112569,115709,111554,110372,110772,111198,115111,111824,113892,112406,112340,111933,113532,110432,111359,111680,106440,111589,113382,114019,113965,114195,114242,119192,114749,113451,111119,111405,107367,112094,113999,117157,115862,114566,115476,114780,113776,112287,112516,116237,111766,114675,116236,117847,117089,114753,115115,115887,116724,116068,114912,115544,112915,114204,119269,114620,116572,117453,115844,114096,116649,115516,114443,116168,110761,116469,113253,114747,114410,113701,114399,112469,112976,110768,113169,111068,111688
0.5,112422,112489,111641,111391,113043,113669,112797,115060,111534,110511,111855,106331,114143,113905,113413,111471,115716,115771,112867,111975,114119,112120,111122,110010,110763,115051,112903,113732,111857,112021,113340,113246,111929,110021,110700,106865,110354,114172,113509,113086,114457,114278,117078,114766,113121,113729,111337,109155,109979,113611,116046,114982,113781,115011,115388,113235,114345,114591,117079,109529,114561,118714,118249,118395,114390,112692,116645,114179,113968,113961,115638,112416,114118,118261,114575,116005,115444,113361,114867,114457,114823,113478,115216,109804,114400,114220,114721,114527,112762,111840,111908,112526,110642,111812,111174,110013
0.583333333,111917,112816,111489,112378,112208,112579,111813,113686,113200,111126,110617,108749,115442,113805,112167,112721,113519,115963,111621,110926,111156,112295,112590,109198,108488,113524,110435,112241,112673,111470,111706,113866,111845,110908,112746,108623,109997,114942,114640,112199,114882,116887,119190,113859,113915,112975,113168,108212,109310,114585,116938,114345,111318,114451,113486,113173,111934,116888,114718,109042,115469,117651,118169,116381,114991,112277,115877,114751,113782,114308,115973,111883,112605,117277,113635,115222,116357,114846,113659,114179,114675,116651,114926,111741,115900,114946,112771,113901,112741,112649,112664,110720,111828,111031,111381,112413
0.666666667,110261,110449,111606,111428,113073,113808,111927,112671,109982,110936,111025,108316,114332,114581,111966,113121,113512,114664,111484,112029,112416,112329,110915,107900,109893,115180,110647,113187,111293,111410,112505,112550,112615,110022,112720,108605,109559,113880,114478,113921,113792,113551,119148,115595,113732,111456,112260,109630,110583,113059,115570,114024,114536,114166,113750,113767,111282,113579,115436,109285,114139,116907,118640,116727,115658,112077,115908,115480,115190,113345,112692,113243,113047,118722,113071,116167,115906,114181,112248,114108,116433,114846,113031,110572,114896,113529,112514,113378,112570,113667,112501,111328,112254,111788,111973,112131
0.75,111619,110747,109850,112857,112961,112252,111438,113866,112212,111086,111250,107950,113950,114643,112165,112508,113212,114862,111516,112156,112425,112094,111054,108438,110063,115869,111782,113948,112786,110898,111841,112795,111353,109780,109911,106951,110764,114102,112463,113033,112103,112093,117346,115150,113172,111042,112202,106655,110285,112439,114976,115802,112011,113903,113387,114641,112559,114306,115216,107977,115307,116499,117926,116454,113835,113735,116430,115043,114490,115337,115129,111487,113238,116942,112606,114444,114053,114691,114115,113735,114494,115313,114141,110239,113449,112381,113532,111755,111475,113202,110798,112901,110088,108787,110194,111976
