ID,Page 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Background,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,5.946440833,6.068309555,6.163118944,6.195544366,6.308937972,6.269830371,6.244318739,6.309605554,6.341532123,6.357889459,6.408916355,6.394234437,6.40421149,6.512932021,6.616108441,6.599744956,6.617250911,6.624813349,6.640181364,6.646219577,6.705526309,6.892265437,6.804467372,7.028196493,7.280791435,8.112023019,9.220481967,11.4774548,16.31799802,25.99250401,43.89246749,73.69578597,100,100,100,100,100,100,100,100
2,,5.694666972,5.848528776,5.811339801,5.84289747,5.955814232,6.017177299,5.989048717,6.065461204,5.955487253,6.001138558,6.129658089,6.063363088,6.086471703,6.089303426,6.237670165,6.292468499,6.219141353,6.292006816,6.301976043,6.29532747,6.466570026,6.513372185,6.649023423,6.81305155,7.343513281,8.338852013,9.910189757,13.74787009,20.43417786,35.20526319,60.56970648,95.82075736,100,100,100,100,100,100,100,100
3,,5.672287073,5.799852496,5.735748954,5.856889448,5.874136545,5.925405182,5.965221168,5.951908649,5.985762159,6.012599592,5.961465101,5.999949137,6.036578055,6.150039782,6.151498612,6.207751583,6.150911727,6.209767954,6.301758057,6.362467166,6.413672084,6.435492485,6.546675267,6.76915643,7.175936522,7.936217288,9.403086137,12.28386476,17.95059598,30.01438708,52.54425116,85.34952697,100,100,100,100,100,100,100,100
4,,5.547417411,5.792442089,5.74196994,5.783881387,5.931588718,5.90503802,5.985300476,5.962238409,5.908947236,6.049967428,5.991563941,6.137585514,6.151733366,6.16778641,6.173495079,6.167798377,6.269118283,6.260369777,6.280940392,6.262099133,6.372871807,6.346772172,6.414892805,6.31451024,6.241644218,6.371150276,6.391527428,6.562787941,6.475928893,6.583328932,6.751999812,7.060540169,7.56427863,8.510191266,10.2761883,14.00003521,21.90303478,36.5448806,61.47190873,91.60346888
5,,5.697718776,5.714067728,5.816034884,5.902087943,5.947639756,5.985787311,6.089684901,5.989635603,6.06785905,6.121919585,6.143892576,6.082042674,6.167410544,6.20117674,6.176133992,6.370054756,6.255327034,6.375437334,6.359088382,6.317947153,6.412603952,6.485520278,6.607258208,6.85991128,7.131412876,8.035807838,9.357922157,12.50749327,18.25271483,30.48001362,52.60754886,84.40032044,100,100,100,100,100,100,100,100
6,,5.662114392,5.765494265,5.821668985,5.754529289,5.933343506,5.99760942,5.933881484,6.03494316,6.062511126,6.019097253,6.035597118,6.091401541,6.169876511,6.117928764,6.16933993,6.210828819,6.310896702,6.306084242,6.270871114,6.367208362,6.457312886,6.538300145,6.595653526,6.739401338,7.193007553,7.780448107,9.167111721,11.89953024,17.16149495,27.93523635,48.21077796,79.34653239,100,100,100,100,100,100,100,100
7,,5.931944762,5.970855268,5.983157855,5.990038039,6.123210733,6.087434195,6.076612028,6.176445157,6.181781902,6.218051423,6.170421476,6.247982581,6.247933674,6.312388082,6.339233488,6.352432542,6.426591389,6.409148232,6.473080542,6.526006228,6.535221092,6.585466872,6.881310241,6.909015838,7.213448285,7.91638056,9.214923323,11.82553852,16.93773229,27.73878902,47.48574916,79.04669261,100,100,100,100,100,100,100,100
8,,5.431703161,5.485895809,5.493482637,5.570401312,5.674734874,5.729864449,5.603817103,5.635252155,5.6765909,5.75153226,5.771438926,5.882734417,5.8057057,5.757330688,5.995746548,5.895704585,5.993156916,5.979603774,6.074706376,5.957929979,6.060311284,6.145932467,6.054897266,6.229277703,6.184786755,6.223610067,6.180539661,6.295872435,6.357417156,6.550984207,6.629943287,6.926578673,7.607232776,8.860260057,11.41507083,16.87013985,28.0675466,47.53223468,75.7332723,100
9,,5.474937057,5.689885812,5.662078061,5.654586608,5.690961209,5.817636737,5.835049973,5.883761466,5.751452332,5.851365389,5.874136545,5.978920751,5.927803028,5.983478641,6.069820924,6.069057973,6.140817297,6.146079703,6.117072602,6.237749433,6.260885677,6.459848231,6.64181626,6.83380382,7.535477226,8.695244635,11.32085908,16.49042496,26.76826632,46.21359109,75.86154981,100,100,100,100,100,100,100,100,100
