ID,Page 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Background,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,5.239948119,5.234556598,5.374799725,5.385260959,5.332824699,5.395942274,5.3966392,5.428942005,5.499046311,5.391012436,5.568998027,5.591492508,5.549488278,5.524235435,5.569073484,5.621859639,5.689987538,5.740825513,5.643842691,5.782582413,5.788099137,6.11408662,6.38938844,7.228550804,8.409056229,10.82227054,15.78120742,25.99276286,43.90793723,68.22181531,91.90127413,100,100,100,100,100,100,100,100,100
2,,5.144197757,5.092545968,5.144324915,5.192950332,5.190101981,5.303619856,5.282673381,5.26048911,5.304036011,5.393477355,5.423878022,5.411176144,5.44452074,5.513796699,5.51123173,5.568398566,5.589188983,5.523130134,5.664148928,5.684639615,5.753414206,5.909601195,6.333257038,6.972457465,8.310165052,10.74507624,16.00956232,26.21375115,44.56353748,68.74048512,91.98454479,100,100,100,100,100,100,100,100,100
3,,4.911879149,5.011934735,5.005780822,5.046019823,5.173317057,5.030312634,5.041580835,5.167620356,5.16619618,5.220463522,5.208013166,5.350766766,5.302728095,5.293450065,5.351847613,5.430584166,5.416814055,5.485618372,5.460649063,5.537063074,5.631995989,5.893339437,6.110221002,6.754355179,8.023956664,10.38671448,15.22226153,25.11139086,42.89758653,67.46013581,91.14483746,100,100,100,100,100,100,100,100,100
4,,4.769207294,4.915439587,4.902215101,5.030463547,5.014419776,5.021032019,5.144731823,5.123979553,5.034278303,5.1716095,5.119401846,5.192263676,5.226541979,5.201800565,5.371997347,5.378042267,5.372374631,5.345117993,5.39854022,5.380565875,5.391666394,5.468833448,5.483388207,5.535973144,5.56238299,5.603003847,5.64259556,5.749790188,5.807838051,6.250212746,6.438752367,7.054245823,8.40390631,10.8127609,15.47624497,23.8863555,38.2026046,60.03422381,81.66399634,100
5,,5.050227614,5.119198393,5.0760897,5.168121723,5.116132056,5.211894994,5.204617615,5.246763816,5.288166629,5.269194578,5.300125887,5.303463798,5.389740851,5.364156558,5.449251036,5.523904645,5.510922917,5.439019667,5.589761196,5.643607937,5.785986349,6.070242364,6.701762417,7.907577278,10.11564159,14.41957224,23.56341758,39.87017116,64.31715877,88.61898916,100,100,100,100,100,100,100,100,100,100
6,,4.993769233,5.162479239,5.236133364,5.22948479,5.308740876,5.306266176,5.337891966,5.322855472,5.277391412,5.355212423,5.428040996,5.475641319,5.462377708,5.503929198,5.466188551,5.541244443,5.529869535,5.635665421,5.646982528,5.751779311,5.901553877,6.233201452,6.856387172,7.990594894,10.10910201,14.89097429,23.9370624,40.58172087,65.20849106,91.34848672,100,100,100,100,100,100,100,100,100,100
7,,5.139238575,5.301747158,5.361475329,5.366979477,5.376897841,5.518207283,5.391317617,5.506472368,5.50321711,5.572485804,5.579919127,5.72121767,5.593085483,5.682598473,5.723353933,5.664148928,5.735866331,5.80288865,5.803921569,5.963988708,6.016346227,6.454288826,6.998550393,8.228382678,10.48294804,15.06981003,24.57445131,41.5164198,66.05840391,91.31373243,100,100,100,100,100,100,100,100,100,100
8,,4.975585565,5.132422878,5.146391241,5.225798844,5.217411718,5.226405737,5.208558131,5.268246669,5.267210905,5.281256471,5.351084662,5.417906462,5.401693751,5.408342325,5.5097467,5.497011775,5.530691175,5.547625488,5.534329865,5.460491849,5.526410824,5.606978459,5.644216831,5.715317515,5.78152602,5.856764735,5.884205822,5.962169363,6.259016028,6.597883691,7.162584878,8.524299992,11.07509982,15.80071717,25.23575189,41.2086099,63.30052644,87.44563973,100,100
9,,5.094987411,4.953892322,5.109414123,5.099238139,5.08454085,5.066649228,5.074006256,5.268844892,5.122555378,5.208994103,5.268126446,5.250512058,5.30584802,5.26131075,5.362991323,5.396789066,5.353068335,5.406271458,5.318481219,5.464607872,5.623930506,5.910037167,6.233746417,7.056123856,8.446925014,11.5787638,17.27951985,28.89686809,49.27079482,74.93801022,98.03768978,100,100,100,100,100,100,100,100,100
10,,5.167467765,5.105450741,5.120709763,5.197985809,5.205556632,5.228797296,5.244525826,5.346434294,5.307189542,5.319999296,5.432784009,5.417359681,5.441694187,5.470476727,5.490704712,5.505264363,5.547290252,5.576886397,5.686802707,5.641769029,5.771180067,5.960878215,6.394511112,7.227643799,8.972422252,12.19724046,18.61318966,31.57206073,52.07151395,78.09455507,99.74145495,100,100,100,100,100,100,100,100,100
11,,5.095750362,5.151093661,5.206785178,5.247695007,5.340784822,5.370921391,5.38643473,5.345998322,5.419535069,5.449583605,5.429465171,5.522675996,5.476026987,5.519289947,5.586124463,5.576702995,5.696886466,5.609761414,5.606368098,5.743495842,5.914044756,6.020774068,6.505901972,7.253786878,8.761921111,11.56152614,17.45123471,29.33775845,49.19438233,75.10960086,98.02500572,100,100,100,100,100,100,100,100,100
12,,4.936675059,4.988937209,5.07525241,5.176368861,5.161909122,5.193735082,5.329594873,5.238204231,5.230697337,5.341948812,5.394979782,5.317115173,5.451830538,5.379212126,5.363641566,5.437298136,5.53322652,5.405127031,5.486311964,5.589570459,5.5853889,5.587980977,5.746874625,5.642157985,5.715157658,5.780626129,5.811754533,5.913633936,5.975432975,6.253734059,6.636758984,7.554334834,8.931715877,11.25435029,15.50649549,23.08602819,35.0654503,53.77930368,76.35278859,97.97868823
13,,5.032806897,5.128557259,5.147304058,5.174232598,5.179021025,5.128843366,5.213397421,5.212380153,5.315186835,5.274535236,5.391339415,5.339030035,5.339894713,5.350620908,5.430140928,5.472103238,5.440248213,5.429541466,5.565292265,5.532485368,5.69532093,5.894153251,6.125298368,6.883344778,8.081395983,10.47491162,15.37254902,24.76844434,42.48078998,65.44413291,89.27372142,100,100,100,100,100,100,100,100,100
14,,4.833040869,4.932860304,4.886320287,5.068393116,5.01138977,5.083761131,5.139674547,5.240057112,5.088273442,5.151547519,5.205908763,5.33671575,5.152259607,5.357347219,5.331086096,5.387655451,5.415067835,5.276921903,5.459296559,5.501640345,5.546349279,5.723048753,6.094004551,6.588845655,7.653271425,9.730569271,13.75539788,22.28510789,37.91796515,62.45087635,87.45250629,100,100,100,100,100,100,100,100,100
15,,4.930189975,4.961521833,5.058874393,5.077439536,5.173698533,5.111889712,5.131961195,5.368530811,5.239312327,5.188067445,5.347575087,5.222400244,5.370471445,5.3307393,5.354009308,5.332722972,5.447797796,5.318942902,5.484601104,5.436484321,5.542076753,5.830908239,6.023651484,6.738501447,7.807838051,9.893513826,14.51800565,23.53809033,39.93570865,64.39389404,89.80040026,100,100,100,100,100,100,100,100,100
16,,4.904758272,4.921670354,4.835167884,4.91586997,5.042016807,5.058147773,5.04778617,5.047139478,4.969958801,5.099666845,5.078420473,5.142835344,5.114112052,5.210084034,5.215885816,5.166094453,5.159662189,5.237332287,5.21529893,5.336314711,5.279152068,5.307674701,5.343986905,5.427961068,5.427379772,5.563820859,5.574629333,5.633630884,5.742885481,6.033417258,6.52844536,7.544060426,9.391709991,12.68811146,18.94700033,30.3213114,48.50041962,71.18971003,90.79753821,100
17,,5.392919814,5.345947458,5.379854276,5.398641947,5.454591694,5.466217615,5.488787553,5.531776913,5.506394117,5.60757317,5.614230128,5.563221398,5.653467613,5.653288095,5.73292352,5.750718446,5.778693319,5.763659549,5.9179182,5.934342609,6.033315531,6.437018387,6.963018671,8.19808558,10.60466809,15.25989384,24.96969389,42.49474109,67.54427841,93.51898477,100,100,100,100,100,100,100,100,100,100
18,,5.096894789,5.372114724,5.275982886,5.427125455,5.485821825,5.430399786,5.527529819,5.396810864,5.445436281,5.571177887,5.571780982,5.535210193,5.596602324,5.652348618,5.633376567,5.63166901,5.65226869,5.693853157,5.756720328,5.820553902,6.018745122,6.359483482,7.003564072,8.212405585,10.64087892,15.43497016,25.71788248,43.01785306,67.85218368,93.41104535,100,100,100,100,100,100,100,100,100,100
19,,5.133516442,5.147274993,5.247359644,5.199293725,5.217949696,5.317651754,5.279839562,5.401224243,5.360112917,5.32387274,5.496417064,5.520244614,5.460727092,5.502948261,5.522494341,5.605528852,5.576562142,5.608402635,5.630461703,5.748277002,5.925078202,6.247865204,6.871951375,8.118126628,10.38605325,14.92345057,24.67383841,41.79293507,66.37031466,92.37389299,100,100,100,100,100,100,100,100,100,100
20,,5.262073701,5.326314183,5.351466138,5.353341726,5.415644857,5.475038783,5.392320352,5.436202616,5.467612726,5.565510251,5.541218433,5.507307982,5.562894418,5.565669548,5.560270202,5.707092175,5.627309289,5.617863228,5.611723289,5.625674394,5.70241386,5.757483279,5.788568645,5.687647822,5.722678176,5.834763867,5.814559287,5.930200874,5.986473326,6.176565957,6.408202311,6.836804761,7.8346358,9.075521259,11.30754559,14.70995143,19.26060502,26.22081712,37.28872613,55.11854353
