domain,AC103,AC161,AC221,AC229,AC248,AC266,AC286,AC306,AC315,AC369,AC433,AC435,AC449,AC451,AC463,AC464,AC507,AC561,AC630,AC690,AC732,AC754,AC759,AC761,AC83,AC832,AC854,AC861,AC872
role:24060 ,3,2,1,1,3,7,1,1,1,2,1,2,1,1,1,1,0,2,2,1,1,2,1,1,1,1,3,0,1
role:24065 ,51,34,32,36,24,1,41,31,15,29,5,20,8,0,52,2,5,16,0,6,6,0,0,6,39,5,20,17,6
role:24070 ,15,11,13,13,15,6,13,10,8,14,8,13,14,6,15,8,10,5,6,6,5,6,6,9,13,8,15,8,9
role:24075 ,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
role:24095 ,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
role:25015 ,1,0,0,0,0,0,0,0,2,0,0,1,0,0,15,0,2,0,0,0,0,0,0,0,0,3,1,0,0
role:25020 ,7,4,1,10,1,9,9,0,7,1,7,1,2,0,9,0,6,5,1,10,0,1,0,2,22,13,2,1,12
role:25030 ,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
role:25095 ,6,1,3,4,6,0,2,7,7,3,4,0,2,1,8,1,9,5,3,1,2,2,0,4,4,4,2,0,2
role:25500 ,33,22,32,32,23,38,32,22,36,31,28,21,21,41,45,26,14,62,64,34,48,19,21,30,34,34,18,55,29
role:25510 ,41,40,36,40,29,40,37,33,36,31,31,27,31,30,34,25,27,33,40,32,41,28,26,27,34,31,30,35,28
role:26010 ,17,12,17,17,14,36,18,13,9,16,7,13,10,6,15,14,8,12,10,6,17,9,7,16,15,10,12,16,15
role:26015 ,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0
