domain,AC103,AC161,AC221,AC229,AC248,AC266,AC286,AC306,AC315,AC369,AC433,AC435,AC449,AC451,AC463,AC464,AC507,AC561,AC630,AC690,AC732,AC754,AC759,AC761,AC83,AC832,AC854,AC861,AC872
CL0464 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CL0465 ,2,3,2,2,3,4,2,3,1,0,1,2,2,0,2,3,0,2,2,1,2,5,0,0,2,1,6,1,0
CL0466 ,2,1,1,1,1,1,1,1,4,1,4,2,2,0,1,1,3,4,1,4,1,1,0,0,2,4,0,1,0
CL0468 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
CL0469 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
CL0470 ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,4,0,0,1,1,4
CL0471 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
CL0472 ,2,2,0,0,2,14,0,1,1,1,1,2,1,4,2,1,1,0,8,1,4,3,5,7,1,1,4,4,4
CL0475 ,5,3,3,3,2,5,3,6,5,2,3,6,5,3,5,3,3,2,1,3,3,1,2,4,3,3,2,4,4
CL0477 ,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1
CL0478 ,1,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CL0479 ,15,5,5,4,6,7,4,6,4,6,2,3,3,2,8,2,2,3,3,2,3,3,3,3,6,3,5,2,3
CL0481 ,1,1,3,0,3,1,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,4,0,2,2,0,3,0,1
CL0483 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CL0486 ,21,7,7,10,1,4,7,11,11,10,12,8,9,1,10,7,2,16,2,10,12,2,2,1,10,10,3,7,1
CL0487 ,10,10,9,8,5,3,9,9,4,8,6,4,4,4,11,8,7,4,2,5,2,6,3,1,12,5,5,2,1
CL0488 ,0,0,1,1,0,1,1,0,2,1,1,0,0,0,1,0,0,2,0,0,0,1,0,0,1,2,0,0,0
CL0489 ,3,4,1,1,1,0,1,1,3,2,4,2,4,0,2,0,2,2,3,4,2,0,0,0,2,2,1,1,0
CL0492 ,1,2,2,2,3,3,2,2,3,2,3,3,2,3,2,3,2,2,3,3,3,1,2,3,2,2,3,2,3
CL0493 ,0,0,0,0,0,11,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,13,2,0,0,1,12
CL0494 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CL0496 ,4,5,0,0,2,0,0,0,7,2,8,5,3,2,2,0,5,3,8,8,5,0,1,0,2,4,2,1,0
CL0497 ,6,2,4,4,1,0,3,3,3,1,0,2,2,1,2,0,1,2,1,1,1,0,1,0,3,2,0,1,0
CL0498 ,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CL0499 ,1,4,4,4,2,2,3,4,6,1,6,3,2,5,3,3,2,5,3,5,1,0,3,0,2,4,2,2,0
CL0500 ,4,6,4,3,4,0,4,4,3,2,4,5,5,0,4,1,3,4,0,3,0,1,0,0,2,2,4,0,0
CL0502 ,1,1,3,3,2,2,3,1,1,3,0,1,1,1,2,0,1,6,7,0,10,0,2,1,2,1,3,6,1
CL0503 ,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0
CL0504 ,14,9,2,3,11,0,3,2,2,2,0,1,1,0,9,0,0,3,0,1,0,1,0,0,13,0,0,0,0
CL0505 ,7,1,1,1,3,3,1,0,2,1,1,0,0,2,1,1,3,0,2,1,3,2,1,1,1,1,0,2,1
CL0506 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CL0508 ,2,3,5,5,3,3,5,1,15,5,18,6,7,0,4,5,4,3,1,18,3,4,0,0,4,18,3,4,0
CL0509 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0513 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CL0515 ,3,2,1,1,0,0,1,1,1,1,0,1,2,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0
CL0516 ,16,2,5,7,2,2,6,3,1,3,3,2,1,4,7,4,2,6,5,2,9,0,2,1,6,3,3,7,1
CL0517 ,3,0,1,1,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1
CL0522 ,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0
CL0524 ,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CL0525 ,9,3,3,3,6,5,2,6,4,3,6,3,3,7,2,6,4,3,4,5,4,4,5,3,2,5,5,4,3
CL0526 ,1,0,2,1,3,3,1,0,0,2,1,0,0,0,2,1,0,0,0,0,2,2,0,0,1,1,0,0,1
CL0527 ,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1
CL0528 ,0,0,2,1,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0
CL0529 ,7,5,3,4,5,13,3,2,3,6,3,2,4,4,3,2,2,6,3,3,3,4,2,5,3,3,3,2,5
CL0530 ,7,7,6,6,9,4,6,8,3,5,3,5,7,7,5,5,5,5,9,4,5,6,6,0,8,5,9,4,0
CL0531 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CL0533 ,5,8,7,7,4,8,7,4,5,7,5,3,3,8,7,6,3,6,8,5,6,5,7,6,7,6,5,9,7
CL0534 ,14,5,8,8,5,2,7,6,5,7,4,1,4,3,9,1,2,11,7,5,3,3,2,1,7,7,3,2,1
CL0535 ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0536 ,5,9,8,8,4,7,10,11,15,9,7,6,5,8,10,5,4,6,5,8,6,11,4,5,8,8,4,3,4
CL0539 ,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2
CL0544 ,4,4,1,2,1,0,1,4,2,1,2,3,1,0,2,1,0,6,0,2,2,1,0,0,1,1,0,3,0
CL0548 ,5,4,4,4,4,4,4,4,2,5,3,3,3,1,5,1,4,6,2,3,1,2,1,1,5,2,4,1,1
CL0553 ,6,2,2,2,1,11,2,2,6,10,8,1,1,4,6,2,2,4,6,8,8,3,4,6,3,7,1,12,5
CL0556 ,0,1,2,2,4,0,2,0,0,1,0,0,0,0,6,2,2,0,0,0,0,3,0,0,0,0,5,0,0
CL0559 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0560 ,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0564 ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CL0565 ,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0
CL0566 ,1,2,0,0,0,3,0,1,1,1,0,0,0,2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
CL0567 ,0,1,0,1,0,1,1,0,1,0,2,0,0,0,2,0,2,0,0,3,0,0,0,0,5,2,0,0,0
CL0569 ,2,1,0,1,0,1,1,0,1,0,1,0,0,0,2,2,1,0,0,2,0,3,0,0,4,1,0,0,0
CL0570 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CL0572 ,2,1,2,2,4,2,2,1,0,1,0,1,1,0,0,1,3,0,0,0,0,1,0,0,1,0,3,0,0
CL0575 ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
CL0578 ,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,10,0,6,0,0,0,0,9,0
CL0579 ,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0
CL0580 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CL0582 ,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
CL0583 ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,4,0,0,0,0
