domain,AC103,AC161,AC221,AC229,AC248,AC266,AC286,AC306,AC315,AC369,AC433,AC435,AC449,AC451,AC463,AC464,AC507,AC561,AC630,AC690,AC732,AC754,AC759,AC761,AC83,AC832,AC854,AC861,AC872
CL0252 ,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,1,1,1,0,2,0,0,1,1,1,0
CL0254 ,19,8,8,10,10,16,9,12,17,7,12,11,11,10,14,10,9,23,15,14,14,9,11,20,12,10,9,16,16
CL0255 ,3,4,3,3,3,3,3,4,4,4,4,5,4,2,4,2,3,3,3,4,3,2,2,2,3,4,3,2,2
CL0256 ,4,4,3,4,2,3,3,4,3,8,3,1,2,2,6,4,2,9,6,2,4,2,2,1,5,3,3,6,2
CL0257 ,39,34,33,32,38,97,33,44,40,40,28,26,22,29,48,25,22,30,54,27,28,34,26,35,45,27,23,26,32
CL0259 ,2,2,2,2,2,0,2,2,1,2,1,2,2,0,2,1,2,2,0,1,0,2,0,0,2,1,2,0,0
CL0260 ,12,8,4,4,7,16,5,8,6,7,4,6,6,9,6,2,8,5,13,4,8,6,5,5,6,6,7,7,5
CL0261 ,13,10,9,9,12,24,9,9,15,13,13,7,8,15,14,10,12,12,17,13,14,8,8,5,15,13,10,17,7
CL0262 ,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0
CL0263 ,4,5,4,4,2,9,4,3,2,3,3,1,2,3,6,2,1,4,7,3,3,7,3,1,2,3,3,4,3
CL0264 ,7,6,2,2,9,6,2,12,11,1,6,8,4,7,1,13,2,5,4,9,4,8,6,0,2,7,7,6,0
CL0265 ,2,3,3,3,3,3,3,2,3,2,2,1,1,4,2,2,2,1,4,3,3,1,3,1,2,2,2,4,1
CL0266 ,1,1,1,1,3,13,1,1,2,1,2,0,1,3,1,1,0,2,4,2,7,4,3,4,0,2,2,7,4
CL0267 ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CL0268 ,6,8,5,5,5,0,11,15,2,5,4,6,8,3,4,17,1,4,3,1,0,9,1,1,1,2,7,2,1
CL0269 ,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,0,2,2,2,1,0
CL0270 ,13,10,5,5,5,5,5,8,9,6,6,5,6,3,8,6,5,12,4,6,3,3,4,4,6,6,6,6,4
CL0273 ,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1
CL0276 ,18,31,27,27,12,3,26,48,17,27,24,6,6,0,20,0,4,10,35,26,20,3,0,1,21,21,9,19,1
CL0277 ,5,2,3,3,3,4,3,3,5,4,5,2,2,3,3,1,1,5,6,5,5,0,1,0,5,3,2,5,0
CL0278 ,2,1,0,0,0,1,0,2,2,0,2,0,0,0,1,0,0,1,1,2,0,0,0,0,1,2,0,1,0
CL0279 ,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0
CL0280 ,6,5,3,4,4,4,3,8,10,4,5,8,4,1,6,1,12,11,7,4,4,1,1,3,4,6,4,4,3
CL0283 ,4,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,2,1,0,0,1,0,1,1,0
CL0285 ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
CL0286 ,5,5,11,11,3,2,11,4,7,9,5,2,2,4,10,1,2,3,7,5,8,1,3,2,11,7,3,7,2
CL0287 ,6,5,4,4,5,5,4,2,3,3,3,1,3,2,5,32,2,7,2,3,6,13,3,0,4,2,4,5,1
CL0288 ,8,4,4,4,4,5,4,3,4,9,2,3,2,2,7,2,1,4,3,2,2,1,2,1,5,2,4,2,1
CL0289 ,3,3,6,6,3,2,6,3,2,10,3,3,3,2,8,2,3,7,4,3,2,2,2,2,6,7,3,3,2
CL0290 ,5,2,2,2,3,4,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,3,3,2,2,2,3
CL0291 ,1,1,2,4,1,4,2,2,2,2,1,3,1,3,2,1,2,1,2,3,1,1,0,1,1,2,1,2,2
CL0292 ,34,17,29,29,16,26,29,22,12,29,15,8,11,12,31,12,10,21,20,15,15,10,11,15,34,17,16,11,12
CL0293 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CL0296 ,5,4,8,9,6,4,9,4,6,7,4,5,7,11,9,5,6,8,23,7,16,4,8,3,7,5,5,18,4
CL0297 ,3,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2
CL0299 ,4,4,2,1,2,7,1,3,3,4,5,5,5,2,5,2,4,2,3,4,2,1,5,3,6,5,4,1,3
CL0300 ,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CL0301 ,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0302 ,3,2,6,7,2,4,5,3,4,4,5,2,2,1,3,2,1,4,1,5,2,3,1,3,3,4,2,2,3
CL0303 ,1,2,1,1,2,2,1,1,1,1,1,2,1,5,1,3,1,1,6,1,6,2,3,2,1,1,2,5,2
CL0304 ,62,62,50,48,43,47,51,81,63,53,50,39,32,28,63,50,33,52,37,63,22,33,24,13,49,58,45,22,14
CL0305 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
CL0306 ,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
CL0307 ,3,1,8,7,2,1,7,3,6,5,5,2,1,3,5,1,1,2,3,5,3,3,3,3,6,4,2,2,3
CL0308 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,1,0,0,0,0,0,0,0
CL0310 ,4,2,2,2,0,21,1,5,1,2,1,1,1,5,2,14,1,1,11,1,9,13,3,1,2,1,0,8,1
CL0311 ,0,1,2,2,1,0,2,0,0,2,0,0,0,0,2,0,1,0,0,0,2,0,0,0,2,0,1,0,0
CL0312 ,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CL0314 ,5,2,3,3,5,3,3,2,2,4,4,2,2,1,4,4,1,4,1,3,1,4,2,2,3,2,4,2,2
CL0315 ,3,1,2,2,1,9,2,1,0,1,0,0,0,2,2,0,0,1,1,0,2,0,1,4,2,0,1,2,4
CL0316 ,8,12,4,4,5,10,5,11,12,6,15,6,9,5,4,6,8,7,5,12,2,8,10,2,8,5,6,3,2
CL0317 ,1,0,1,1,0,0,1,0,2,0,2,0,0,0,1,3,0,3,0,2,0,1,0,0,1,1,0,0,0
CL0318 ,21,16,12,12,8,3,12,17,20,11,11,8,5,1,14,11,3,10,1,16,1,10,1,0,13,11,7,1,0
CL0319 ,3,2,2,1,2,5,1,2,1,1,2,0,0,0,2,1,0,1,1,2,2,0,0,1,2,2,1,5,1
CL0320 ,2,1,6,5,3,1,6,2,4,6,5,1,1,0,5,2,1,3,0,5,0,2,0,1,5,4,3,0,1
CL0322 ,21,11,14,17,17,6,15,15,22,13,21,9,7,6,16,10,6,18,5,17,4,13,7,3,14,21,18,8,3
CL0323 ,5,6,3,3,6,6,3,10,8,5,8,3,3,2,5,4,3,3,3,8,2,6,2,3,6,6,4,2,3
CL0324 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
CL0325 ,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,0,1,1,2,3,1
CL0327 ,7,13,9,10,6,0,10,14,1,5,0,3,3,0,10,0,2,3,3,0,0,0,0,0,5,0,6,0,0
CL0328 ,11,10,9,9,7,4,10,10,12,8,10,6,6,3,12,5,6,9,5,11,4,1,3,2,10,11,7,4,2
